Controlador,RMSE X [m],RMSE Y [m],RMSE Z [m],RMSE Total [m]
PID,0.04519568361903647,0.04658649971166618,0.005829943080278356,0.06516855077026341
PID + Kalman,0.03639985264760127,0.051886850833033175,0.005539760136244838,0.06362297937462258
