Controlador,RMSE X [m],RMSE Y [m],RMSE Z [m],RMSE Total [m]
MinNorm,0.025534889713628182,0.026641278248661648,0.012531386931582213,0.038972092038262414
MinNorm + Kalman,0.027833344906815008,0.026248758569045405,0.012153849231739374,0.0401423525253019
